,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
260,sinhala.080117_unreply,facebook/bart-large-cnn,0.321197686287853,0.15789473684210525,0.2857142857142857,0.4375,0,0.5,0.28571428571428575
261,sinhala.080117_unreply,google/pegasus-xsum,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
262,sinhala.080117_unreply,t5-large,0.5419058553386912,0.3157894736842105,0.5714285714285714,0.25,0.25,0.25,0.5714285714285715
263,sinhala.080117_unreply,gpt-3.5-turbo,0.7445255474452555,0.45,0.75,0.4117647058823529,0,0,0.7499999999999999
264,sinhala.080117_unreply,RefSum,0.8823529411764706,0.5,1,0.2,0,0,1
265,technology-19700791,facebook/bart-large-cnn,0,0,0,0.18181818181818182,0,0,0
266,technology-19700791,google/pegasus-xsum,0,0,0,0.09523809523809523,0,0,0
267,technology-19700791,t5-large,0,0,0,0.2608695652173913,0,0,0
268,technology-19700791,gpt-3.5-turbo,0,0,0,0.5185185185185185,0,0,0
269,technology-19700791,RefSum,0,0,0,0,0,0,0
270,technology-23132678,facebook/bart-large-cnn,0.4914529914529915,0.17647058823529413,0.5,0.2,0,0.5,0.5
271,technology-23132678,google/pegasus-xsum,0.9102902374670185,0.35294117647058826,1,0.13333333333333333,0,0,1
272,technology-23132678,t5-large,0.4435857805255023,0.1875,0.6666666666666666,0.07142857142857142,0,1,0.6666666666666666
273,technology-23132678,gpt-3.5-turbo,0.4435857805255023,0.1875,0.6666666666666666,0.07142857142857142,0,1,0.6666666666666666
274,technology-23132678,RefSum,0.9102902374670185,0.35294117647058826,1,0.13333333333333333,0,0,1
275,technology-30795245,facebook/bart-large-cnn,0,0,0,0.14814814814814814,0,0,0
